id;name;rarity;card_type;toughness;power;cmc;color_identity;x;y
1;mobile partnerships;19803;38871;sticky SCSI iterate;16787;38995;44982;77793;23083
2;payment Lead haptic;26410;41086;Underpass;42695;91328;99002;94647;30147
3;Via redundant web-enabled;80470;66773;International Cross-group;64429;9042;6281;80809;38630
4;copying Martin Shilling;87311;21405;middleware alarm;39006;38071;64732;74361;87111
5;invoice Identity;49948;3588;Connecticut;96565;62190;29128;81088;90404
6;card port Gibraltar;24463;36790;Future-proofed services synthesizing;59832;83429;60217;21040;28261
7;Home Auto interfaces;69801;32685;auxiliary input invoice;58206;58107;28576;10621;11255
8;grey Borders;33659;66561;e-business Versatile invoice;53460;57325;29316;27478;54510
9;green Oro core;83801;79746;frame;39013;78855;23223;62427;77598
10;challenge Licensed Handmade;29603;98951;Rica;79405;63350;11251;13015;11933
